46	それを 一[ひと]つください。	Please give me one of those.	1	一	One	100000000
283	ソフトクリームを 二[ふた]つください。	Can I get two ice cream cones?	2	二	Two	200000000
5929	そんなぞんざいな 口[くち]のききかたはよくないよ。	You shouldn't talk in such a rude way.	11	口	Mouth	1100000000
1298	目[め]をつぶってください。	Close your eyes.	15	目	Eye	1500000000
519	では、また 明日[あした]。	See you tomorrow.	20	明	Bright	2000000000
2447	ラジオのボリュームを 上[あ]げてください。	Please turn up the volume on the radio.	50	上	Above	5000000000
4061	このドレスはとても 上品[じょうひん]なデザインですね。	This dress has a very elegant design.	50	上	Above	5000000000
5451	朝日[あさひ]が 昇[のぼ]りましたよ。	The morning sun has risen.	53	朝	Morning	5300000000
384	メガネが 見[み]つかりません。	I can't find my glasses.	61	見	See	6100000000
479	パスポートが 見[み]つからない。	I can't find my passport.	61	見	See	6100000000
3019	ようやくゴールが 見[み]えてきました。	At long last, we can see the finish line.	61	見	See	6100000000
288	クーラーはまだ 直[なお]りません。	The air conditioner hasn't been repaired yet.	77	直	Straightaway	7700000000
19462	このナイフの 刃[は]にはぎざぎざがある。	There are notches in this knife blade.	88	刃	Blade	8800000000
826	このはさみはよく 切[き]れますね。	These scissors cut well.	89	切	Cut	8900000000
1666	このはさみはよく 切[き]れる。	These scissors cut well.	89	切	Cut	8900000000
2544	このパイナップルを 切[き]ってください。	Please cut up this pineapple.	89	切	Cut	8900000000
16524	かみそりの 刃[は]が 切[き]れなくなった。	The razor blade has gone blunt.	89	切	Cut	8900000000
4307	どうぞ 召[め]し 上[あ]がってください。	Please eat.	90	召	Seduce	9000000000
1342	あの 子[こ]はおしゃれだね。	That girl is trendy.	99	子	Child	9900000000
100	この 中[なか]でどれが 好[す]きですか。	Which of these do you like?	103	好	Fond	10300000000
1801	これはあんまり 好[す]きじゃないな。	I don't like this very much.	103	好	Fond	10300000000
17077	より 好[ごの]みをしてはいけません。	Don't be too particular.	103	好	Fond	10300000000
18241	母[はは]にカーネーションをプレゼントした。	I gave my mother some carnations.	105	母	Mama	10500000000
595	兄[にい]さん、おめでとう。	Congratulations, big brother.	107	兄	Elder Brother	10700000000
1031	兄[あに]はアルバイトをしています。	My big brother works part-time.	107	兄	Elder Brother	10700000000
552	ここは 小[ちい]さな 町[まち]です。	This is a small town.	110	小	Little	11000000000
4472	小[ちい]さなことにくよくよするのはバカらしいよ。	It's stupid to worry about such a small thing.	110	小	Little	11000000000
1306	このシャツは 少[すこ]しきついです。	This shirt is a little tight.	111	少	Few	11100000000
658	その 子[こ]はいたずらが 大好[だいす]きだ。	That kid loves playing tricks.	112	大	Large	11200000000
1302	兄[あに]はバイクが 大好[だいす]きです。	My older brother loves motorcycles.	112	大	Large	11200000000
2685	チーズケーキの 大[だい]を 一[ひと]つ 下[くだ]さい。	Please give me a slice of the large-size cheesecake.	112	大	Large	11200000000
3615	びんのふたが 外[はず]れません。	The jar lid doesn't come off.	116	外	Outside	11600000000
4667	このくじは 外[はず]れです。	This is a losing ticket.	116	外	Outside	11600000000
4460	石[いし]につまずきました。	I tripped on a stone.	118	石	Stone	11800000000
5838	ダイヤモンドがきらりと 光[ひか]った。	The diamond glittered.	125	光	Ray	12500000000
18159	のこぎりで 丸太[まるた]を 切[き]った。	I cut the log with a saw.	126	太	Plump	12600000000
1973	ここはいやな 臭[にお]いがする。	There's an unpleasant smell here.	128	臭	Stinking	12800000000
4216	バケツに 水[みず]をくんできてください。	Please go get some water in the bucket.	137	水	Water	13700000000
4240	小[ちい]さなバケツで 水[みず]をくんだの。	I scooped up some water with a small bucket.	137	水	Water	13700000000
16276	桶[おけ]に 水[みず]を 汲[く]んだ。	I drew water into the tub.	137	水	Water	13700000000
19035	水[みず]たまりをまたいだ。	I stepped over the puddle.	137	水	Water	13700000000
4741	原則[げんそく]としてキャンセルできません。	As a general rule, we don't accept cancellation.	142	原	Meadow	14200000000
5869	クローバーの 原[はら]でピクニックをしたよ。	We had a picnic in a clover field.	142	原	Meadow	14200000000
336	お 願[ねが]いがあります。	I have a favor to ask.	143	願	Petition	14300000000
720	よろしくお 願[ねが]いします。	My best regards.	143	願	Petition	14300000000
17178	なにとぞよろしくお 願[ねが]いします。	Please accept my best regards.	143	願	Petition	14300000000
1663	湖[みずうみ]でスケートをした。	We went skating on the lake.	159	湖	Lake	15900000000
1892	あそこに 古[ふる]いお 寺[てら]があります。	There's an old temple there.	170	寺	Buddhist Temple	17000000000
971	火[ひ]を 消[け]して。	Put out the fire.	173	火	Fire	17300000000
18383	口[くち]は 災[わざわ]いの 元[もと]です。	The mouth is the source of misfortune.	179	災	Disaster	17900000000
2535	バツが 三[みっ]つあるので８５ 点[てん]です。	Because there are three mistakes, you get 85 points.	181	点	Spot	18100000000
4987	もっと 照明[しょうめい]を 明[あか]るくしてください。	Please make the lighting brighter.	182	照	Illuminate	18200000000
764	魚[さかな]がたくさん 泳[およ]いでいます。	There are a lot of fish swimming.	183	魚	Fish	18300000000
1023	黒[くろ]のボールペンはありますか。	Do you have a black pen?	186	黒	Black	18600000000
329	上[うえ]を 向[む]いて。	Look up.	195	向	Yonder	19500000000
1140	こっちを 向[む]いてください。	Please turn this way.	195	向	Yonder	19500000000
18616	そこにあお 向[む]けになってください。	Lie face-up there.	195	向	Yonder	19500000000
4549	エチケットを 守[まも]ることは 大切[たいせつ]です。	It's important to keep the rules of etiquette.	198	守	Guard	19800000000
1721	そのシャツは 安[やす]っぽいね。	That shirt looks cheap.	202	安	Relax	20200000000
4458	スカートにしわが 寄[よ]っているよ。	Your skirt is rumpled.	204	寄	Draw Near	20400000000
5688	木[き]にブランコをつるしました。	I hung a swing from a tree.	207	木	Tree	20700000000
3561	森[もり]の 中[なか]にきれいな 泉[いずみ]があるの。	There is a beautiful spring in the forest.	209	森	Forest	20900000000
4180	植木[うえき]に 水[みず]をやりました。	I watered the plant.	217	植	Plant	21700000000
2575	この 椅子[いす]はがたがたしているね。	This chair is unstable.	218	椅	Chair	21800000000
5690	この 村[むら]には 田畑[たはた]がたくさんあります。	There are a lot of fields and rice paddies in this village.	221	村	Village	22100000000
1826	机[つくえ]にシールを 貼[は]った。	I put a sticker on the desk.	223	机	Desk	22300000000
2577	砂[すな]ぼこりで 机[つくえ]がざらざらしているね。	The top of the desk is gritty with sandy dust.	223	机	Desk	22300000000
18789	机[つくえ]に 貼[は]ってあるシールをはがしてください。	Please remove the stickers that are stuck to the desk.	223	机	Desk	22300000000
47	この 本[ほん]、あなたにあげます。	I'll give you this book.	224	本	Book	22400000000
55	別[べつ]の 本[ほん]も 見[み]せてください。	Please show me another book.	224	本	Book	22400000000
88	この 本[ほん]はとてもおもしろい。	This book is very interesting.	224	本	Book	22400000000
188	ここに 本[ほん]があります。	There's a book here.	224	本	Book	22400000000
321	バナナが 七[なな] 本[ほん]あります。	There are seven bananas.	224	本	Book	22400000000
556	日本[にっぽん]へようこそ。	Welcome to Japan.	224	本	Book	22400000000
1472	これはとても 大[おお]きな 本棚[ほんだな]ですね。	This is a very big bookshelf.	224	本	Book	22400000000
2358	本日[ほんじつ]のランチはハンバーグでございます。	The lunch of the day is hamburger steak.	224	本	Book	22400000000
4073	見本[みほん]はこちらにございます。	There's a sample here.	224	本	Book	22400000000
5531	日本[にほん]では 七月[しちがつ] 七日[なのか]は 七夕[たなばた]の 日[ひ]です。	In Japan, July 7th is the day of the Tanabata Festival.	224	本	Book	22400000000
18887	おわんに 味噌汁[みそしる]をつぎました。	The miso soup was served into the bowls.	233	味	Flavor	23300000000
1113	妹[いもうと]とひどい 喧嘩[けんか]をした。	I had an awful fight with my little sister.	234	妹	Younger Sister	23400000000
1326	妹[いもうと]はとてもおしゃべりです。	My little sister's very talkative.	234	妹	Younger Sister	23400000000
1434	妹[いもうと]はチョコレートが 大好[だいす]きです。	My little sister loves chocolate.	234	妹	Younger Sister	23400000000
17232	妹[いもうと]はドーナツが 大好[だいす]きです。	My younger sister loves donuts.	234	妹	Younger Sister	23400000000
4369	スープを 少[すこ]し 薄[うす]めましょうか。	Shall I water down the soup a little?	242	薄	Dilute	24200000000
6000	この 本[ほん]は 薄[うす]くてぺらぺらですね。	This book is thin and flimsy.	242	薄	Dilute	24200000000
16314	田[た]んぼに 苗[なえ]を 植[う]えています。	We are planting the seedlings in the rice field.	249	苗	Seedling	24900000000
370	桃[もも]を 五[いつ]つください。	I'd like five peaches, please.	251	桃	Peach Tree	25100000000
413	犬[いぬ]にえさをやった。	I fed the dog.	253	犬	Dog	25300000000
4165	どこかで 犬[いぬ]がほえていますね。	A dog is barking somewhere.	253	犬	Dog	25300000000
18214	犬[いぬ]がよだれをたらしている。	The dog is drooling.	253	犬	Dog	25300000000
724	みんなで 自然[しぜん]を 守[まも]りましょう。	Let us all work together to protect nature.	256	然	Sort of Thing	25600000000
338	お 先[さき]にどうぞ。	Please go ahead.	263	先	Before	26300000000
2394	田[た]んぼの 中[なか]でかえるが 合唱[がっしょう]している。	Frogs in the rice field are croaking in chorus.	269	合	Fit	26900000000
5272	母[はは]に 真珠[しんじゅ]のネックレスをもらいました。	My mother gave me a pearl necklace.	274	珠	Pearl	27400000000
15908	その 魚[さかな]は 沼[ぬま]の 主[ぬし]といわれています。	This fish is known as the lord of the marsh.	284	主	Lord	28400000000
4520	みんなのグラスにジュースを 注[そそ]いだよ。	I poured juice into everyone's glass.	285	注	Pour	28500000000
300	これはかなり 金[かね]がかかった。	This cost quite a lot of money.	287	金	Gold	28700000000
420	お 金[かね]がほとんどありません。	I have little money.	287	金	Gold	28700000000
1639	キャッシュカードでお 金[かね]を 下[お]ろした。	I withdrew some money with my cash card.	287	金	Gold	28700000000
5891	ペンチで 針金[はりがね]を 切[き]ります。	I'll cut the wire with pincers.	292	針	Needle	29200000000
2603	この 道[みち]はでこぼこしていますね。	This road is bumpy.	295	道	Road-Way	29500000000
4390	釣[つ]った 魚[さかな]を 逃[に]がしました。	I let go of the fish I had caught.	301	逃	Escape	30100000000
5392	この 辺[へん]は 田[た]んぼがたくさんあります。	There are a lot of rice fields around here.	302	辺	Environs	30200000000
19554	辺[あた]りはしーんとしていた。	The neighborhood was deathly quiet.	302	辺	Environs	30200000000
403	この 車[くるま]はよくもっているね。	This car has lasted a long time.	304	車	Car	30400000000
3820	この 車[くるま]は 左[ひだり]ハンドルです。	This car has a steering wheel on the left.	304	車	Car	30400000000
16178	車[くるま]のキーがない。	I have no car keys.	304	車	Car	30400000000
18678	車[くるま]をぶつけてバンパーがへこんでしまった。	I dented the bumper when I crashed my car.	304	車	Car	30400000000
2192	だらしない 格好[かっこう]をしないでください。	Please don't dress sloppily.	312	格	Status	31200000000
1607	夏[なつ]はすいかがおいしい。	Watermelon is delicious in summer.	317	夏	Summer	31700000000
4627	真夏[まなつ]のビールはおいしい。	Beer tastes delicious in midsummer.	317	夏	Summer	31700000000
5769	木[こ]の 葉[は]がひらひらと 落[お]ちたの。	A leaf fluttered down.	320	落	Fall	32000000000
17161	はたきでほこりを 落[お]としました。	I removed the dust with a duster.	320	落	Fall	32000000000
559	ウェーターが 水[みず]を 運[はこ]んできました。	The waiter brought some water.	325	運	Carry	32500000000
17925	その 町[まち]にはいくつもの 運河[うんが]がある。	There are many canals in the town.	325	運	Carry	32500000000
3805	うちの 子[こ]はその 本[ほん]に 夢中[むちゅう]です。	Our child is engrossed in that book.	327	夢	Dream	32700000000
17847	マイホームの 夢[ゆめ]が 叶[かな]って 嬉[うれ]しい。	I am happy that I fulfilled the dream of owning my own home.	327	夢	Dream	32700000000
1432	あのスーツはそんなに 高[たか]くない。	The suit is not that pricey.	329	高	Tall	32900000000
3583	あの 塔[とう]の 高[たか]さはどれくらいですか。	How tall is that tower?	329	高	Tall	32900000000
3870	このドアの 高[たか]さを 測[はか]ってください。	Please measure the height of this door.	329	高	Tall	32900000000
16802	ドーナツはカロリーが 高[たか]いよ。	Donuts are high in calories.	329	高	Tall	32900000000
492	チケットはもう 売[う]り 切[き]れだって。	The tickets have sold out already.	345	売	Sell	34500000000
1475	その 本[ほん]は 直[す]ぐ 売[う]り 切[き]れた。	The books sold out quickly.	345	売	Sell	34500000000
1571	この 周辺[しゅうへん]には 大学[だいがく]が 多[おお]い。	There are a lot of universities in this area.	346	学	Study	34600000000
5863	王[おう]の 墓[はか]を 見学[けんがく]したよ。	I visited the king's grave.	346	学	Study	34600000000
3788	その 車[くるま]のナンバーを 覚[おぼ]えていますか。	Do you remember the car's license number?	347	覚	Memorize	34700000000
5153	この 子[こ]は 覚[おぼ]えが 早[はや]いね。	This kid is a fast learner.	347	覚	Memorize	34700000000
5248	ここはかつてゴールドラッシュで 栄[さか]えた 町[まち]だよ。	This town once prospered during the Gold Rush era.	348	栄	Flourish	34800000000
262	お 名前[なまえ]をカタカナで 書[か]いてください。	Please write your name in katakana.	349	書	Write	34900000000
776	もっと 大[おお]きく 字[じ]を 書[か]いてください。	Please write in larger letters.	349	書	Write	34900000000
1604	ボールペンで 名前[なまえ]を 書[か]いてください。	Please write your name with a ballpoint pen.	349	書	Write	34900000000
1636	ローマ 字[じ]で 名前[なまえ]を 書[か]いてください。	Please write your name in Roman letters.	349	書	Write	34900000000
1088	カラーコピーは 一[いち] 枚[まい]いくらですか。	How much is a color copy?	354	枚	A Sheet Of	35400000000
2304	そうあっさり 言[い]わないで。	Don't say it so bluntly.	357	言	Say	35700000000
237	時計[とけい]を 見[み]たらちょうど３ 時[じ]だった。	It was exactly three when I looked at the clock.	359	計	Plot	35900000000
3784	この 時計[とけい]はすぐ 狂[くる]うの。	This clock often gets out of whack.	359	計	Plot	35900000000
18653	コーチがみっちりと 特訓[とっくん]してくれた。	The coach made us train hard.	365	訓	Instruction	36500000000
3598	このパイプは 詰[つ]まっていますよ。	This pipe is clogged.	367	詰	Packed	36700000000
3906	このパイプは 詰[つ]まっていますよ。	This pipe is clogged.	367	詰	Packed	36700000000
6	それはとってもいい 話[はなし]だ。	That's a really nice story.	368	話	Tale	36800000000
386	もっとゆっくり 話[はな]してください。	Please speak more slowly.	368	話	Tale	36800000000
2402	プロジェクトメンバーと 話[はな]し 合[あ]いをしたの。	I had a discussion with the project members.	368	話	Tale	36800000000
2884	このシリーズは５０ 話[わ]もあるそうよ。	I hear this series has as many as 50 stories.	368	話	Tale	36800000000
4898	話[はなし]はこれでおしまいです。	This is the end of the story.	368	話	Tale	36800000000
5670	ありのままを 話[はな]してください。	Please tell me the story as it is.	368	話	Tale	36800000000
17939	大[おお]まかに 状況[じょうきょう]を 話[はな]して 下[くだ]さい。	Give me an outline of the situation.	368	話	Tale	36800000000
